Date, Open, High, Low
2017-04-18, 141.27, 141.905, 140.61
2017-04-17, 139.76, 141.55, 139.75
2017-04-13, 139.62, 140.58, 139.33
2017-04-12, 139.72, 140.4, 139.44
2017-04-11, 140.8, 141.0299, 138.81
2017-04-10, 141.0, 141.43, 140.63
2017-04-07, 141.2, 141.55, 140.24
2017-04-06, 142.11, 142.22, 140.91
2017-04-05, 142.26, 143.44, 141.29
2017-04-04, 141.86, 142.09, 141.27
2017-04-03, 141.93, 142.47, 140.82
2017-03-31, 142.31, 142.63, 141.89
2017-03-30, 142.4, 142.95, 141.85
2017-03-29, 141.99, 142.86, 141.43
2017-03-28, 140.36, 141.95, 140.01
2017-03-27, 139.05, 140.65, 138.77
2017-03-24, 140.08, 141.0244, 139.76
2017-03-23, 139.48, 140.39, 139.09
2017-03-22, 137.93, 139.79, 137.6
2017-03-21, 141.15, 142.3082, 138.4
2017-03-20, 139.71, 140.19, 139.25
2017-03-17, 140.34, 140.34, 139.7
2017-03-16, 140.2, 140.25, 139.73
2017-03-15, 139.29, 140.1, 138.49
2017-03-14, 139.46, 139.46, 138.52
2017-03-13, 138.71, 139.68, 138.6729
2017-03-10, 138.91, 139.49, 138.22
2017-03-09, 137.72, 138.57, 137.4
2017-03-08, 137.15, 137.99, 137.0516
2017-03-07, 137.03, 138.37, 136.99
2017-03-06, 136.88, 137.83, 136.51
2017-03-03, 136.63, 137.33, 136.08
2017-03-02, 137.09, 137.82, 136.31
2017-03-01, 136.47, 137.48, 136.3
2017-02-28, 136.79, 136.805, 134.75
2017-02-27, 135.26, 137.1846, 135.02
2017-02-24, 134.16, 135.62, 134.16
2017-02-23, 135.89, 136.12, 134.33
2017-02-22, 133.6, 136.79, 133.46
2017-02-21, 133.5, 133.91, 132.9
2017-02-17, 133.5, 134.0912, 133.17
2017-02-16, 133.07, 133.87, 133.022
2017-02-15, 133.45, 133.7, 132.66
2017-02-14, 134.1, 134.23, 132.55
2017-02-13, 134.6975, 134.6975, 133.7
2017-02-10, 134.1, 134.94, 133.68
2017-02-09, 134.49, 134.5, 133.31
2017-02-08, 132.6, 134.44, 132.44
2017-02-07, 132.24, 133.0, 131.661
2017-02-06, 130.98, 132.06, 130.3
2017-02-03, 131.24, 132.85, 130.76
2017-02-02, 133.22, 135.49, 130.4
2017-02-01, 132.25, 133.49, 130.68
2017-01-31, 130.17, 130.66, 129.5157
2017-01-30, 131.58, 131.58, 129.6
2017-01-27, 132.68, 132.95, 131.08
2017-01-26, 131.63, 133.14, 131.4401
2017-01-25, 130.0, 131.74, 129.77
2017-01-24, 129.38, 129.9, 128.38
2017-01-23, 127.31, 129.25, 126.95
2017-01-20, 128.1, 128.48, 126.78
2017-01-19, 128.23, 128.35, 127.45
2017-01-18, 128.41, 128.43, 126.84
2017-01-17, 128.04, 128.34, 127.4
2017-01-13, 127.49, 129.27, 127.37
2017-01-12, 125.61, 126.73, 124.8
2017-01-11, 124.35, 126.12, 124.06
2017-01-10, 124.82, 125.5, 124.28
2017-01-09, 123.55, 125.43, 123.04
2017-01-06, 120.98, 123.88, 120.03
2017-01-05, 118.86, 120.95, 118.3209
2017-01-04, 117.55, 119.66, 117.29
2017-01-03, 116.03, 117.84, 115.51
2016-12-30, 116.595, 116.83, 114.7739
2016-12-29, 117.0, 117.531, 116.06
2016-12-28, 118.19, 118.25, 116.65
2016-12-27, 116.96, 118.68, 116.864
2016-12-23, 117.0, 117.56, 116.3
2016-12-22, 118.86, 118.99, 116.93
2016-12-21, 118.92, 119.2, 118.48
2016-12-20, 119.5, 119.77, 118.8
2016-12-19, 119.85, 120.36, 118.51
2016-12-16, 120.9, 121.5, 119.27
2016-12-15, 120.08, 122.5, 119.63
2016-12-14, 120.0, 121.69, 118.85
2016-12-13, 117.86, 121.52, 117.61
2016-12-12, 119.22, 119.24, 117.65
2016-12-09, 119.22, 119.94, 118.95
2016-12-08, 117.98, 119.5, 117.64
2016-12-07, 117.0, 117.95, 116.57
2016-12-06, 117.69, 117.795, 116.33
2016-12-05, 115.95, 117.57, 115.07
2016-12-02, 115.11, 116.48, 114.3
2016-12-01, 118.38, 118.45, 114.0
2016-11-30, 120.32, 121.79, 117.95
2016-11-29, 120.57, 122.1, 120.4
2016-11-28, 120.12, 121.69, 119.82
2016-11-25, 121.01, 121.14, 120.07
2016-11-23, 121.23, 121.31, 119.94
2016-11-22, 122.4, 122.98, 120.9
2016-11-21, 118.39, 121.95, 117.8
2016-11-18, 118.39, 119.13, 116.84
2016-11-17, 116.84, 117.79, 116.01
2016-11-16, 117.2, 117.88, 114.21
2016-11-15, 116.73, 118.49, 115.83
2016-11-14, 119.1256, 119.1256, 113.5535
2016-11-11, 120.44, 120.7, 118.15
2016-11-10, 123.93, 124.18, 115.27
2016-11-09, 121.5, 123.81, 120.51
2016-11-08, 122.03, 124.61, 121.54
2016-11-07, 122.83, 123.2089, 121.35
2016-11-04, 119.59, 121.93, 119.25
2016-11-03, 122.0, 123.28, 119.5
2016-11-02, 130.23, 130.23, 126.28
2016-11-01, 131.41, 131.94, 128.65
2016-10-31, 132.01, 132.12, 130.8835
2016-10-28, 130.5, 132.97, 129.93
2016-10-27, 131.74, 131.8, 129.27
2016-10-26, 131.64, 132.26, 130.935
2016-10-25, 133.5, 133.5, 132.22
